id,20_60T9_18,weekend,total_tourists
1406.0,38.02273679,116.80322055,154.82595734
1407.0,55.124366919,170.25644166,225.38080857900002
1350.0,15.142310541,34.218026054,49.360336595
1348.0,29.634909326,99.1649382,128.799847526
1349.0,42.177770561,127.02175131,169.199521871
1346.0,35.462777259,103.318766757,138.781544016
1347.0,23.215747384,70.78499903,94.00074641399999
1344.0,34.033907694,105.13692966,139.170837354
1345.0,44.587083528,134.3707941,178.957877628
1343.0,33.227804938,105.43955616,138.667361098
1286.0,12.293849765,35.89630952,48.190159285
1284.0,44.920560369,138.16534967,183.085910039
1285.0,26.357554641,83.282761717,109.640316358
1282.0,35.784228093,110.02901936,145.813247453
1283.0,35.257273195,105.148932383,140.406205578
1280.0,237.41064749,764.34727908,1001.75792657
1281.0,170.450615908,534.96985562,705.420471528
1534.0,36.004903938,105.13596856,141.140872498
1535.0,43.116594356,130.9390092,174.055603556
1476.0,20.999101053,64.046656771,85.045757824
1477.0,6.404285714,11.469732143,17.874017857
1474.0,36.338205535,114.91579246,151.25399799500002
1475.0,49.917523317,158.46565795,208.383181267
1472.0,23.446564739,72.17113223,95.617696969
1473.0,78.620465658,258.43469261,337.055158268
1470.0,46.508459677,149.93616677,196.444626447
1471.0,41.25838634,122.604377813,163.862764153
1412.0,55.58662072,173.05516073,228.64178145
1413.0,40.215657067,116.391830074,156.607487141
1410.0,40.386657647,124.08731196,164.473969607
1411.0,28.613545518,91.318454792,119.93200030999999
1408.0,34.708368636,102.634479366,137.34284800199998
1409.0,26.562199381,74.767068492,101.329267873
1094.0,48.342431087,99.159088101,147.501519188
1095.0,255.29816468,942.762457322,1198.060622002
1092.0,33.489249883,75.66108987,109.150339753
1093.0,26.639891142,68.533790725,95.173681867
1030.0,18.124112913,45.966885584,64.090998497
1031.0,22.497591715,53.611222193,76.108813908
1279.0,72.691981587,165.08768009,237.77966167699998
1222.0,32.421545411,107.815446786,140.236992197
1220.0,38.998295783,110.3485145,149.346810283
1221.0,25.001681586,74.669862538,99.67154412400001
1218.0,100.092466782,181.969731639,282.062198421
1219.0,90.35868219,185.35858393,275.71726612
1216.0,17.75596528,44.100392488,61.856357767999995
1217.0,79.096092311,154.02409715,233.120189461
1158.0,78.79929309,157.025033733,235.82432682299998
1156.0,69.599316625,132.07011353,201.669430155
1157.0,72.22922813,154.202865531,226.43209366099998
1154.0,32.990414351,82.977346429,115.96776077999999
1155.0,44.841287627,97.80131826,142.642605887
1662.0,26.110673495,70.278064547,96.388738042
1661.0,27.416798522,79.590736952,107.00753547400001
1600.0,44.451223327,138.38292598,182.83414930700002
1598.0,32.958948565,94.736431254,127.695379819
1599.0,35.5355271,112.26889272,147.80441982
1538.0,43.603906337,138.54996117,182.15386750699997
1539.0,18.968312406,57.069339525,76.037651931
1536.0,45.861019484,142.6563995,188.517418984
1537.0,50.383945423,157.28394649,207.667891913
